"開課系所名稱","開課系所代碼"
"全校不分系學士學位學程","AN"
"外國語文學系學士班","B2"
"中國文學系現代文學碩士班","K6"
"考古學研究所碩士班","K7"
"中國文學系學士班","B1"
"歷史學系學士班","B3"
"台灣文學系學士班","B5"
"中國文學系中國文學碩士班","K1"
"外國語文學系碩士班","K2"
"歷史學系碩士班","K3"
"藝術研究所碩士班","K4"
"台灣文學系碩士班","K5"
"太空與電漿科學研究所碩士班","LA"
"數學系學士班","C1"
"化學系學士班","C3"
"地球科學系學士班","C4"
"化學系碩士班","L3"
"物理學系學士班","C2"
"光電科學與工程學系學士班","F8"
"數學系應用數學碩士班","L1"
"光電科學與工程學系碩士班","L7"
"物理學系碩士班","L2"
"地球科學系碩士班","L4"
"資源工程學系學士班","E4"
"材料科學及工程學系學士班","E5"
"土木工程學系學士班","E6"
"工程科學系碩士班","N9"
"機械工程學系碩士班","N1"
"化學工程學系碩士班","N3"
"土木工程學系碩士班","N6"
"水利及海洋工程學系碩士班","N8"
"生物醫學工程學系學士班","F9"
"自然災害減災及管理國際碩士學位學程","NC"
"資源工程學系碩士班","N4"
"海洋科技與事務研究所碩士班",NA
"測量及空間資訊學系碩士班","P6"
"化學工程學系學士班","E3"
"工程科學系學士班","E9"
"測量及空間資訊學系學士班","F6"
"生物醫學工程學系碩士班","P8"
"航空太空工程學系碩士班","P4"
"系統及船舶機電工程學系碩士班","P1"
"民航研究所碩士班","Q4"
"機械工程學系學士班","E1"
"水利及海洋工程學系學士班","E8"
"系統及船舶機電工程學系學士班","F1"
"航空太空工程學系學士班","F4"
"環境工程學系學士班","F5"
"材料科學及工程學系碩士班","N5"
"環境工程學系碩士班","P5"
"工業與資訊管理學系學士班","H3"
"交通管理科學系學士班","H5"
"企業管理學系碩士班","R4"
"工業與資訊管理學系碩士班","R3"
"交通管理科學系碩士班","R5"
"財務金融研究所碩士班","R8"
"電信管理研究所碩士班","R9"
"資訊管理研究所碩士班","R7"
"統計學系學士班","H2"
"體育健康與休閒研究所碩士班","RB"
"經營管理碩士學位學程","RD"
"會計學系學士班","H1"
"企業管理學系學士班","H4"
"會計學系碩士班","R1"
"統計學系碩士班","R2"
"國際企業研究所碩士班","R6"
"細胞生物與解剖學研究所碩士班","T9"
"醫學檢驗生物技術學系學士班","I3"
"藥理學研究所碩士班","S2"
"生理學研究所碩士班","S3"
"生物化學暨分子生物學研究所碩士班","S1"
"環境醫學研究所碩士班","S7"
"行為醫學研究所碩士班","S8"
"分子醫學研究所碩士班","T1"
"醫學檢驗生物技術學系碩士班","T3"
"護理學系碩士班","T2"
"物理治療學系碩士班","T6"
"口腔醫學研究所碩士班","T4"
"護理學系學士班","I2"
"藥學系學士班","I8"
"老年學研究所碩士班","TC"
"臨床藥學與藥物科技研究所碩士班","S6"
"臨床醫學研究所碩士班","S9"
"公共衛生研究所碩士班","T8"
"醫學系學士班","I5"
"物理治療學系學士班","I6"
"職能治療學系學士班","I7"
"微生物及免疫學研究所碩士班","S4"
"職能治療學系碩士班","T7"
"心理學系學士班","D8"
"政治學系政治經濟學碩士班","U1"
"法律學系碩士班","U2"
"教育研究所碩士班","U3"
"法律學系學士班","D2"
"經濟學系碩士班","U5"
"心理學系碩士班","U7"
"政治學系學士班","D4"
"經濟學系學士班","D5"
"電機工程學系學士班","E2"
"電機工程學系電力電子產業碩士專班","VE"
"微電子工程研究所碩士班","Q1"
"電機工程學系電子材料與元件產業碩士專班","VJ"
"醫學資訊研究所碩士班","Q5"
"電機工程學系電機設計與驅動產業碩士專班","VK"
"奈米積體電路工程碩士學位學程","Q7"
"製造資訊與系統研究所碩士班","P9"
"資訊工程學系學士班","F7"
"電機工程學系碩士班","N2"
"資訊工程學系碩士班","P7"
"電腦與通信工程研究所碩士班","Q3"
"建築學系碩士班","N7"
"創意產業設計研究所碩士班","PA"
"科技藝術碩士學位學程","PB"
"建築學系學士班","E7"
"都巿計劃學系學士班","F2"
"工業設計學系學士班","F3"
"都巿計劃學系碩士班","P2"
"工業設計學系碩士班","P3"
"熱帶植物與微生物科學研究所碩士班","Z3"
"生命科學系學士班","C5"
"生命科學系碩士班","L5"
"生物科技與產業科學系碩士班","L6"
"生物資訊與訊息傳遞研究所碩士班","Z2"
"生物科技與產業科學系學士班","C6"
